delivery_id,route_id,status,sla_hours,actual_hours,scenario_tag
DEL-001,RT-017,delayed,5,38,delayed
DEL-002,RT-007,in_transit,4,8,delayed
DEL-003,RT-020,failed,42,39,delayed
DEL-004,RT-018,delayed,40,4,breach
DEL-005,RT-001,delayed,9,70,critical
DEL-006,RT-012,delivered,30,65,critical
DEL-007,RT-010,delayed,37,33,on_time
DEL-008,RT-007,pending,36,40,breach
DEL-009,RT-002,delivered,8,10,on_time
DEL-010,RT-016,delayed,48,7,delayed
DEL-011,RT-003,failed,37,25,breach
DEL-012,RT-007,delayed,26,11,breach
DEL-013,RT-016,failed,33,25,critical
DEL-014,RT-016,delivered,13,60,critical
DEL-015,RT-017,failed,40,69,breach
DEL-016,RT-004,failed,44,50,breach
DEL-017,RT-015,pending,31,13,critical
DEL-018,RT-016,pending,17,11,delayed
DEL-019,RT-013,delayed,28,7,breach
DEL-020,RT-002,delivered,5,71,breach
DEL-021,RT-002,in_transit,4,40,critical
DEL-022,RT-015,failed,15,30,delayed
DEL-023,RT-012,failed,46,60,on_time
DEL-024,RT-002,delayed,36,31,critical
DEL-025,RT-012,pending,38,19,breach
DEL-026,RT-009,failed,31,32,on_time
DEL-027,RT-001,delayed,42,57,critical
DEL-028,RT-014,failed,45,31,delayed
DEL-029,RT-015,failed,30,71,critical
DEL-030,RT-004,failed,6,40,critical
DEL-031,RT-003,in_transit,28,64,on_time
DEL-032,RT-011,in_transit,3,22,on_time
DEL-033,RT-020,pending,34,63,breach
DEL-034,RT-018,delivered,34,55,on_time
DEL-035,RT-003,pending,46,48,critical
DEL-036,RT-002,pending,48,20,delayed
DEL-037,RT-013,in_transit,31,26,delayed
DEL-038,RT-008,delayed,32,40,on_time
DEL-039,RT-004,pending,48,15,breach
DEL-040,RT-010,failed,27,34,critical
DEL-041,RT-016,delivered,14,68,on_time
DEL-042,RT-008,delivered,30,47,breach
DEL-043,RT-016,in_transit,31,31,critical
DEL-044,RT-007,pending,32,48,critical
DEL-045,RT-006,delivered,10,47,breach
DEL-046,RT-009,failed,13,34,on_time
DEL-047,RT-017,delayed,13,2,breach
DEL-048,RT-015,delivered,44,32,on_time
DEL-049,RT-003,pending,34,28,delayed
DEL-050,RT-013,failed,45,32,critical
DEL-051,RT-009,delayed,45,11,breach
DEL-052,RT-020,in_transit,32,57,breach
DEL-053,RT-019,delayed,20,51,on_time
DEL-054,RT-007,delayed,14,30,breach
DEL-055,RT-009,pending,36,33,delayed
DEL-056,RT-016,delayed,21,65,on_time
DEL-057,RT-008,failed,10,44,breach
DEL-058,RT-011,delivered,25,68,on_time
DEL-059,RT-001,in_transit,13,57,on_time
DEL-060,RT-018,failed,43,52,breach
DEL-061,RT-006,delayed,14,6,breach
DEL-062,RT-001,delayed,40,43,breach
DEL-063,RT-005,pending,45,38,critical
DEL-064,RT-006,pending,13,69,delayed
DEL-065,RT-009,pending,36,59,delayed
DEL-066,RT-019,delivered,9,59,delayed
DEL-067,RT-012,failed,6,72,on_time
DEL-068,RT-008,in_transit,43,45,breach
DEL-069,RT-015,failed,8,66,delayed
DEL-070,RT-020,in_transit,5,29,on_time
DEL-071,RT-013,delivered,44,3,critical
DEL-072,RT-011,delayed,45,58,on_time
DEL-073,RT-001,failed,18,52,delayed
DEL-074,RT-019,pending,11,68,delayed
DEL-075,RT-019,pending,44,7,delayed
DEL-076,RT-012,failed,25,33,critical
DEL-077,RT-019,in_transit,12,69,breach
DEL-078,RT-007,delivered,30,48,critical
DEL-079,RT-002,delayed,24,53,breach
DEL-080,RT-009,pending,48,27,on_time
DEL-081,RT-011,failed,13,22,delayed
DEL-082,RT-019,delayed,34,25,delayed
DEL-083,RT-020,delayed,3,20,critical
DEL-084,RT-010,delivered,26,43,breach
DEL-085,RT-009,failed,7,55,critical
DEL-086,RT-019,in_transit,42,62,on_time
DEL-087,RT-020,failed,22,69,delayed
DEL-088,RT-006,delayed,33,11,on_time
DEL-089,RT-005,failed,21,38,on_time
DEL-090,RT-007,failed,42,55,on_time
DEL-091,RT-006,delivered,43,60,breach
DEL-092,RT-012,pending,24,24,breach
DEL-093,RT-001,failed,31,14,delayed
DEL-094,RT-004,pending,2,22,on_time
DEL-095,RT-009,delayed,16,53,on_time
DEL-096,RT-006,in_transit,11,62,critical
DEL-097,RT-001,failed,11,19,breach
DEL-098,RT-003,in_transit,14,16,delayed
DEL-099,RT-017,in_transit,4,43,breach
DEL-100,RT-004,delayed,35,30,delayed
DEL-101,RT-001,delivered,32,62,on_time
DEL-102,RT-012,in_transit,36,59,delayed
DEL-103,RT-016,failed,27,15,on_time
DEL-104,RT-016,failed,14,27,delayed
DEL-105,RT-002,failed,31,11,on_time
DEL-106,RT-007,pending,7,11,breach
DEL-107,RT-006,delivered,8,19,delayed
DEL-108,RT-014,delivered,31,42,critical
DEL-109,RT-008,in_transit,8,53,on_time
DEL-110,RT-014,delivered,46,10,on_time
DEL-111,RT-002,pending,8,53,breach
DEL-112,RT-005,in_transit,11,22,on_time
DEL-113,RT-012,pending,8,51,on_time
DEL-114,RT-010,in_transit,45,42,critical
DEL-115,RT-002,failed,44,3,critical
DEL-116,RT-016,delivered,41,34,delayed
DEL-117,RT-004,delivered,37,42,critical
DEL-118,RT-004,delivered,7,11,breach
DEL-119,RT-018,failed,29,33,on_time
DEL-120,RT-003,failed,24,64,critical
DEL-121,RT-008,delivered,29,38,on_time
DEL-122,RT-004,pending,13,55,breach
DEL-123,RT-009,delayed,45,49,on_time
DEL-124,RT-009,in_transit,6,22,on_time
DEL-125,RT-006,delivered,20,46,delayed
DEL-126,RT-008,pending,25,9,breach
DEL-127,RT-009,pending,34,61,delayed
DEL-128,RT-007,pending,15,49,breach
DEL-129,RT-005,delayed,44,15,delayed
DEL-130,RT-011,pending,9,6,delayed
DEL-131,RT-006,pending,19,61,breach
DEL-132,RT-009,in_transit,41,6,breach
DEL-133,RT-010,delivered,2,7,delayed
DEL-134,RT-005,delayed,11,4,delayed
DEL-135,RT-014,pending,35,46,breach
DEL-136,RT-006,pending,39,39,breach
DEL-137,RT-020,failed,29,60,delayed
DEL-138,RT-015,failed,26,56,on_time
DEL-139,RT-011,failed,29,3,delayed
DEL-140,RT-013,failed,29,26,on_time
DEL-141,RT-015,delivered,39,35,critical
DEL-142,RT-008,failed,13,38,on_time
DEL-143,RT-020,delivered,9,48,breach
DEL-144,RT-012,delivered,3,55,breach
DEL-145,RT-017,delivered,14,67,delayed
DEL-146,RT-003,pending,24,58,critical
DEL-147,RT-006,in_transit,10,52,on_time
DEL-148,RT-010,delivered,10,53,on_time
DEL-149,RT-010,delivered,9,46,breach
DEL-150,RT-015,failed,22,18,delayed
DEL-151,RT-017,in_transit,43,17,breach
DEL-152,RT-009,delayed,45,11,critical
DEL-153,RT-006,failed,27,44,breach
DEL-154,RT-002,delayed,45,2,critical
DEL-155,RT-014,failed,33,30,critical
DEL-156,RT-004,in_transit,33,66,delayed
DEL-157,RT-010,failed,47,47,on_time
DEL-158,RT-011,pending,13,28,critical
DEL-159,RT-008,failed,20,54,breach
DEL-160,RT-008,in_transit,19,66,breach
DEL-161,RT-001,delayed,17,16,critical
DEL-162,RT-004,pending,46,48,on_time
DEL-163,RT-011,failed,6,67,delayed
DEL-164,RT-017,delivered,41,10,delayed
DEL-165,RT-004,pending,46,52,critical
DEL-166,RT-009,delayed,36,55,breach
DEL-167,RT-007,pending,40,22,critical
DEL-168,RT-002,delivered,8,17,breach
DEL-169,RT-010,pending,16,7,critical
DEL-170,RT-008,failed,26,58,on_time
DEL-171,RT-012,failed,29,60,breach
DEL-172,RT-005,in_transit,31,29,on_time
DEL-173,RT-013,pending,38,5,critical
DEL-174,RT-018,failed,34,17,critical
DEL-175,RT-002,pending,19,23,delayed
DEL-176,RT-014,delayed,18,70,delayed
DEL-177,RT-008,in_transit,34,48,critical
DEL-178,RT-009,delivered,35,62,critical
DEL-179,RT-011,delivered,28,29,on_time
DEL-180,RT-005,in_transit,43,45,breach
DEL-181,RT-005,in_transit,19,64,critical
DEL-182,RT-009,in_transit,36,52,on_time
DEL-183,RT-001,pending,13,72,critical
DEL-184,RT-012,delayed,8,30,critical
DEL-185,RT-006,delayed,35,16,critical
DEL-186,RT-009,failed,48,27,on_time
DEL-187,RT-004,failed,38,43,on_time
DEL-188,RT-017,failed,25,28,on_time
DEL-189,RT-002,delivered,8,2,breach
DEL-190,RT-017,in_transit,22,47,delayed
DEL-191,RT-004,pending,46,26,critical
DEL-192,RT-013,pending,28,15,on_time
DEL-193,RT-014,pending,45,69,on_time
