warehouse_id,product_id,current_stock,reorder_point,avg_daily_demand,last_restock_date,scenario_tag
WH-009,PRD-008,3915,330,173,2025-10-03,low_stock
WH-009,PRD-024,1943,454,191,2025-07-06,overstocked
WH-002,PRD-025,6853,431,154,2026-01-24,critical
WH-004,PRD-020,5781,287,182,2025-09-28,overstocked
WH-006,PRD-050,6789,416,98,2026-02-18,low_stock
WH-001,PRD-020,9328,153,198,2026-01-05,low_stock
WH-002,PRD-015,2772,354,175,2026-03-16,critical
WH-003,PRD-016,5919,397,158,2026-02-20,low_stock
WH-007,PRD-032,3869,484,193,2026-01-11,low_stock
WH-008,PRD-014,4860,357,168,2025-12-21,critical
WH-001,PRD-046,1578,488,22,2026-05-04,overstocked
WH-002,PRD-029,5215,368,37,2025-10-09,normal
WH-005,PRD-031,309,410,143,2025-10-21,critical
WH-002,PRD-011,7293,80,175,2026-03-06,low_stock
WH-006,PRD-017,3395,486,92,2025-08-06,low_stock
WH-004,PRD-015,5824,446,86,2025-11-20,normal
WH-004,PRD-010,5853,433,92,2025-09-24,normal
WH-008,PRD-039,8642,433,87,2025-10-17,normal
WH-002,PRD-044,7202,58,95,2025-08-08,critical
WH-009,PRD-030,6898,242,104,2025-09-06,normal
WH-010,PRD-045,355,68,70,2026-02-19,overstocked
WH-005,PRD-029,8792,153,121,2025-10-14,normal
WH-010,PRD-012,6438,292,188,2026-02-15,overstocked
WH-004,PRD-019,7816,134,22,2026-03-07,overstocked
WH-003,PRD-035,1479,499,99,2025-09-09,low_stock
WH-006,PRD-009,7365,264,12,2026-04-07,overstocked
WH-009,PRD-010,680,142,168,2026-03-04,normal
WH-004,PRD-038,3945,139,43,2025-12-29,low_stock
WH-008,PRD-028,8773,376,152,2025-09-22,critical
WH-010,PRD-015,4522,292,81,2026-02-20,critical
WH-001,PRD-039,8787,343,51,2025-12-16,overstocked
WH-010,PRD-026,5661,289,190,2025-11-09,normal
WH-006,PRD-046,188,124,160,2025-10-09,normal
WH-002,PRD-042,6268,327,193,2025-06-13,normal
WH-007,PRD-025,6028,231,181,2025-10-27,overstocked
WH-005,PRD-027,7976,109,56,2025-11-05,low_stock
WH-005,PRD-034,9645,134,99,2026-03-13,low_stock
WH-009,PRD-028,7519,434,16,2026-01-23,normal
WH-003,PRD-012,6180,394,43,2026-01-02,normal
WH-010,PRD-029,5521,60,138,2025-09-15,low_stock
WH-005,PRD-001,796,197,155,2025-12-18,overstocked
WH-002,PRD-009,9644,126,61,2026-02-01,normal
WH-010,PRD-041,1419,72,65,2025-07-01,critical
WH-007,PRD-010,7452,458,107,2025-12-02,normal
WH-007,PRD-001,4266,337,80,2025-05-29,critical
WH-006,PRD-034,7382,179,30,2026-04-29,critical
WH-005,PRD-001,2079,85,115,2026-03-04,critical
WH-002,PRD-013,7558,452,36,2026-01-13,low_stock
WH-007,PRD-024,6854,497,102,2025-08-02,critical
WH-003,PRD-024,8866,495,55,2025-09-06,overstocked
WH-009,PRD-039,9222,125,119,2025-06-14,critical
WH-010,PRD-020,8625,391,173,2025-07-14,overstocked
WH-008,PRD-036,1074,493,103,2025-08-24,critical
WH-005,PRD-021,3348,102,164,2025-09-14,overstocked
WH-007,PRD-014,82,189,39,2026-04-20,low_stock
WH-001,PRD-049,6714,473,118,2026-01-15,overstocked
WH-007,PRD-043,1084,492,59,2025-07-31,normal
WH-008,PRD-001,8730,140,88,2025-06-21,normal
WH-006,PRD-040,1987,185,25,2025-09-22,critical
WH-007,PRD-021,4432,395,172,2025-09-06,overstocked
WH-009,PRD-016,8109,403,151,2025-05-24,overstocked
WH-001,PRD-040,2785,441,160,2026-03-01,critical
WH-007,PRD-028,774,396,65,2026-02-19,critical
WH-009,PRD-006,1772,425,148,2025-12-03,overstocked
WH-006,PRD-037,7267,362,197,2025-12-17,critical
WH-007,PRD-027,5455,234,122,2025-10-10,critical
WH-005,PRD-036,2050,353,22,2026-01-22,low_stock
WH-003,PRD-018,8124,311,68,2026-04-03,normal
WH-001,PRD-030,6938,295,21,2026-04-12,low_stock
WH-003,PRD-029,3827,377,89,2026-04-24,low_stock
WH-004,PRD-014,1787,336,179,2025-07-20,normal
WH-007,PRD-020,5207,471,44,2025-08-24,normal
WH-007,PRD-035,3449,175,65,2026-04-08,critical
WH-004,PRD-044,8535,341,66,2026-04-08,overstocked
