supplier_id,supplier_name,reliability_score,avg_lead_time_days,on_time_delivery_rate,scenario_tag
SUP-001,"Smith, Mercado and Hernandez",0.89,14,0.54,reliable
SUP-002,"Abbott, Moore and Turner",0.71,20,0.99,new
SUP-003,Pruitt-Rogers,0.71,12,0.81,critical
SUP-004,Williams-Hurst,0.71,21,0.53,delayed
SUP-005,Wong-Rodriguez,0.89,7,0.62,critical
SUP-006,Davis-Olsen,0.57,11,0.63,delayed
SUP-007,Morris-Jackson,0.74,27,0.79,reliable
SUP-008,"Brown, Bowman and Sellers",0.87,16,0.8,reliable
SUP-009,"Allen, Powell and Mccormick",0.51,17,0.61,new
SUP-010,Brown-Taylor,0.51,30,0.77,delayed
SUP-011,Dorsey LLC,0.74,19,0.8,critical
SUP-012,Lewis PLC,0.65,23,0.83,reliable
SUP-013,Watts Group,0.87,4,0.57,new
SUP-014,Roberts LLC,0.72,6,0.78,new
SUP-015,Robertson-Monroe,0.8,13,0.65,delayed
SUP-016,Scott-Lee,0.55,29,0.86,reliable
SUP-017,Fletcher LLC,0.86,21,0.53,new
SUP-018,"Gibson, Carter and Torres",0.64,28,0.54,critical
SUP-019,Pena-Martinez,0.66,22,0.94,reliable
SUP-020,Brooks PLC,0.63,29,0.77,delayed
SUP-021,Mills-Hernandez,0.85,19,0.75,new
SUP-022,Rodgers-Davis,0.82,20,0.56,critical
SUP-023,"Patterson, Waters and Howell",0.54,29,0.94,critical
SUP-024,Washington-Wilson,0.93,5,0.79,critical
SUP-025,Baldwin PLC,0.63,24,0.96,new
SUP-026,Bailey-Dyer,0.97,25,0.68,critical
SUP-027,Anthony and Sons,0.66,14,0.54,critical
SUP-028,Phillips and Sons,0.99,22,0.93,new
SUP-029,Rodriguez-Benitez,0.89,11,0.77,critical
SUP-030,"Gray, Ibarra and Cohen",0.66,25,0.98,new
SUP-031,Wells-Bishop,0.92,17,0.8,critical
SUP-032,Lewis-Walker,0.51,21,0.64,new
SUP-033,"Davis, Holt and Baker",0.9,20,0.56,delayed
SUP-034,Nelson-Thompson,0.51,11,0.59,new
SUP-035,Wise-Aguilar,0.77,26,0.65,critical
SUP-036,Cooper-Merritt,0.9,14,0.94,delayed
SUP-037,Lopez and Sons,0.58,2,0.88,new
